"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Connecticut"	"09"	"2003"	"2003"	66	3484336	1.9	1.9
	"Connecticut"	"09"	"2004"	"2004"	104	3496094	3.0	3.0
	"Connecticut"	"09"	"2005"	"2005"	94	3506956	2.7	2.7
	"Connecticut"	"09"	"2006"	"2006"	141	3517460	4.0	4.0
	"Connecticut"	"09"	"2007"	"2007"	134	3527270	3.8	3.8
	"Connecticut"	"09"	"2008"	"2008"	126	3545579	3.6	3.4
	"Connecticut"	"09"	"2009"	"2009"	121	3561807	3.4	3.4
	"Connecticut"	"09"	"2010"	"2010"	152	3574097	4.3	4.2
	"Connecticut"	"09"	"2011"	"2011"	124	3580709	3.5	3.4
	"Connecticut"	"09"	"2012"	"2012"	109	3590347	3.0	3.1
	"Connecticut"	"09"	"2013"	"2013"	243	3596080	6.8	6.6
	"Connecticut"	"09"	"2014"	"2014"	283	3596677	7.9	8.0
	"Connecticut"	"09"	"2015"	"2015"	430	3590886	12.0	11.8
	"Connecticut"	"09"	"2016"	"2016"	676	3576452	18.9	19.3
	"Connecticut"	"09"	"2017"	"2017"	843	3588184	23.5	24.5
	"Connecticut"	"09"	"2018"	"2018"	886	3572665	24.8	25.7
	"Delaware"	"10"	"1999"	"1999"	19	774990	Unreliable	Unreliable
	"Delaware"	"10"	"2000"	"2000"	24	783600	3.1	3.1
	"Delaware"	"10"	"2001"	"2001"	29	795699	3.6	3.6
	"Delaware"	"10"	"2002"	"2002"	37	806169	4.6	4.6
	"Delaware"	"10"	"2003"	"2003"	31	818003	3.8	3.8
	"Delaware"	"10"	"2004"	"2004"	29	830803	3.5	3.5
	"Delaware"	"10"	"2005"	"2005"	25	845150	3.0	3.0
	"Delaware"	"10"	"2006"	"2006"	31	859268	3.6	3.8
	"Delaware"	"10"	"2007"	"2007"	37	871749	4.2	4.2
	"Delaware"	"10"	"2008"	"2008"	56	883874	6.3	6.5
	"Delaware"	"10"	"2009"	"2009"	74	891730	8.3	8.5
	"Delaware"	"10"	"2010"	"2010"	89	897934	9.9	10.3
	"Delaware"	"10"	"2011"	"2011"	100	907135	11.0	11.1
	"Delaware"	"10"	"2012"	"2012"	62	917092	6.8	6.7
	"Delaware"	"10"	"2013"	"2013"	79	925749	8.5	8.9
	"Delaware"	"10"	"2014"	"2014"	85	935614	9.1	9.4
	"Delaware"	"10"	"2015"	"2015"	82	945934	8.7	9.2
	"Delaware"	"10"	"2016"	"2016"	121	952065	12.7	13.2
	"Delaware"	"10"	"2017"	"2017"	228	961939	23.7	25.6
	"Delaware"	"10"	"2018"	"2018"	339	967171	35.1	37.7
	"District of Columbia"	"11"	"1999"	"1999"	Suppressed	570213	Suppressed	Suppressed
	"District of Columbia"	"11"	"2000"	"2000"	36	572059	6.3	6.4
	"District of Columbia"	"11"	"2001"	"2001"	46	574504	8.0	8.1
	"District of Columbia"	"11"	"2002"	"2002"	26	573158	4.5	4.6
	"District of Columbia"	"11"	"2003"	"2003"	57	568502	10.0	10.2
	"District of Columbia"	"11"	"2004"	"2004"	45	567754	7.9	8.0
	"District of Columbia"	"11"	"2005"	"2005"	41	567136	7.2	7.2
	"District of Columbia"	"11"	"2006"	"2006"	53	570681	9.3	9.3
	"District of Columbia"	"11"	"2007"	"2007"	26	574404	4.5	4.6
	"District of Columbia"	"11"	"2008"	"2008"	26	580236	4.5	4.2
	"District of Columbia"	"11"	"2009"	"2009"	10	592228	Unreliable	Unreliable
	"District of Columbia"	"11"	"2010"	"2010"	20	601723	3.3	3.4
	"District of Columbia"	"11"	"2011"	"2011"	33	617996	5.3	5.2
	"District of Columbia"	"11"	"2012"	"2012"	25	632323	4.0	3.9
	"District of Columbia"	"11"	"2013"	"2013"	28	646449	4.3	3.9
	"District of Columbia"	"11"	"2014"	"2014"	36	658893	5.5	5.4
	"District of Columbia"	"11"	"2015"	"2015"	51	672228	7.6	7.6
	"District of Columbia"	"11"	"2016"	"2016"	166	681170	24.4	24.2
	"District of Columbia"	"11"	"2017"	"2017"	217	693972	31.3	30.8
	"District of Columbia"	"11"	"2018"	"2018"	182	702455	25.9	25.4
	"Florida"	"12"	"1999"	"1999"	292	15759421	1.9	1.9
	"Florida"	"12"	"2000"	"2000"	407	15982378	2.5	2.6
	"Florida"	"12"	"2001"	"2001"	676	16356966	4.1	4.3
	"Florida"	"12"	"2002"	"2002"	769	16689370	4.6	4.7
	"Florida"	"12"	"2003"	"2003"	864	17004085	5.1	5.2
	"Florida"	"12"	"2004"	"2004"	1079	17415318	6.2	6.4
	"Florida"	"12"	"2005"	"2005"	1003	17842038	5.6	5.8
	"Florida"	"12"	"2006"	"2006"	1152	18166990	6.3	6.5
	"Florida"	"12"	"2007"	"2007"	1409	18367842	7.7	7.8
	"Florida"	"12"	"2008"	"2008"	1392	18527305	7.5	7.7
	"Florida"	"12"	"2009"	"2009"	1516	18652644	8.1	8.3
	"Florida"	"12"	"2010"	"2010"	1634	18801310	8.7	8.9
	"Florida"	"12"	"2011"	"2011"	1526	19057542	8.0	8.2
	"Florida"	"12"	"2012"	"2012"	1241	19317568	6.4	6.4
	"Florida"	"12"	"2013"	"2013"	1120	19552860	5.7	5.8
	"Florida"	"12"	"2014"	"2014"	1159	19893297	5.8	5.9
	"Florida"	"12"	"2015"	"2015"	1464	20271272	7.2	7.4
	"Florida"	"12"	"2016"	"2016"	2488	20612439	12.1	12.8
	"Florida"	"12"	"2017"	"2017"	2998	20984400	14.3	15.0
	"Florida"	"12"	"2018"	"2018"	2993	21299325	14.1	14.8
	"Georgia"	"13"	"1999"	"1999"	80	8045965	1.0	1.0
	"Georgia"	"13"	"2000"	"2000"	115	8186453	1.4	1.4
	"Georgia"	"13"	"2001"	"2001"	180	8377038	2.1	2.1
	"Georgia"	"13"	"2002"	"2002"	213	8508256	2.5	2.4
	"Georgia"	"13"	"2003"	"2003"	231	8622793	2.7	2.6
	"Georgia"	"13"	"2004"	"2004"	254	8769252	2.9	2.9
	"Georgia"	"13"	"2005"	"2005"	297	8925922	3.3	3.3
	"Georgia"	"13"	"2006"	"2006"	328	9155813	3.6	3.5
	"Georgia"	"13"	"2007"	"2007"	376	9349988	4.0	4.0
	"Georgia"	"13"	"2008"	"2008"	385	9504843	4.1	4.0
	"Georgia"	"13"	"2009"	"2009"	472	9620846	4.9	4.8
	"Georgia"	"13"	"2010"	"2010"	525	9687653	5.4	5.3
	"Georgia"	"13"	"2011"	"2011"	509	9815210	5.2	5.2
	"Georgia"	"13"	"2012"	"2012"	499	9919945	5.0	5.0
	"Georgia"	"13"	"2013"	"2013"	471	9992167	4.7	4.7
	"Georgia"	"13"	"2014"	"2014"	612	10097343	6.1	6.0
	"Georgia"	"13"	"2015"	"2015"	729	10214860	7.1	7.1
	"Georgia"	"13"	"2016"	"2016"	753	10310371	7.3	7.2
	"Georgia"	"13"	"2017"	"2017"	882	10429379	8.5	8.4
	"Georgia"	"13"	"2018"	"2018"	706	10519475	6.7	6.7
	"Hawaii"	"15"	"1999"	"1999"	26	1210300	2.1	2.1
	"Hawaii"	"15"	"2000"	"2000"	27	1211537	2.2	2.2
	"Hawaii"	"15"	"2001"	"2001"	35	1225948	2.9	2.8
	"Hawaii"	"15"	"2002"	"2002"	44	1239613	3.5	3.5
	"Hawaii"	"15"	"2003"	"2003"	38	1251154	3.0	3.0
	"Hawaii"	"15"	"2004"	"2004"	52	1273569	4.1	4.0
	"Hawaii"	"15"	"2005"	"2005"	61	1292729	4.7	4.6
	"Hawaii"	"15"	"2006"	"2006"	52	1309731	4.0	3.8
	"Hawaii"	"15"	"2007"	"2007"	73	1315675	5.5	5.3
	"Hawaii"	"15"	"2008"	"2008"	50	1332213	3.8	3.6
	"Hawaii"	"15"	"2009"	"2009"	56	1346717	4.2	4.0
	"Hawaii"	"15"	"2010"	"2010"	72	1360301	5.3	5.1
	"Hawaii"	"15"	"2011"	"2011"	73	1374810	5.3	5.0
	"Hawaii"	"15"	"2012"	"2012"	59	1392313	4.2	4.2
	"Hawaii"	"15"	"2013"	"2013"	63	1404054	4.5	4.2
	"Hawaii"	"15"	"2014"	"2014"	50	1419561	3.5	3.3
	"Hawaii"	"15"	"2015"	"2015"	51	1431603	3.6	3.4
	"Hawaii"	"15"	"2016"	"2016"	62	1428557	4.3	4.1
	"Hawaii"	"15"	"2017"	"2017"	47	1427538	3.3	3.0
	"Hawaii"	"15"	"2018"	"2018"	45	1420491	3.2	3.2
	"Idaho"	"16"	"1999"	"1999"	27	1275674	2.1	2.2
	"Idaho"	"16"	"2000"	"2000"	26	1293953	2.0	2.1
	"Idaho"	"16"	"2001"	"2001"	46	1319962	3.5	3.7
	"Idaho"	"16"	"2002"	"2002"	41	1340372	3.1	3.2
	"Idaho"	"16"	"2003"	"2003"	52	1363380	3.8	4.0
	"Idaho"	"16"	"2004"	"2004"	42	1391802	3.0	3.2
	"Idaho"	"16"	"2005"	"2005"	48	1428241	3.4	3.6
	"Idaho"	"16"	"2006"	"2006"	65	1468669	4.4	4.7
	"Idaho"	"16"	"2007"	"2007"	59	1505105	3.9	4.1
	"Idaho"	"16"	"2008"	"2008"	70	1534320	4.6	4.7
	"Idaho"	"16"	"2009"	"2009"	61	1554439	3.9	4.1
	"Idaho"	"16"	"2010"	"2010"	78	1567582	5.0	5.2
	"Idaho"	"16"	"2011"	"2011"	75	1584985	4.7	5.0
	"Idaho"	"16"	"2012"	"2012"	58	1595728	3.6	3.8
	"Idaho"	"16"	"2013"	"2013"	73	1612136	4.5	4.5
	"Idaho"	"16"	"2014"	"2014"	69	1634464	4.2	4.4
	"Idaho"	"16"	"2015"	"2015"	76	1654930	4.6	5.1
	"Idaho"	"16"	"2016"	"2016"	99	1683140	5.9	6.1
	"Idaho"	"16"	"2017"	"2017"	83	1716943	4.8	5.0
	"Idaho"	"16"	"2018"	"2018"	97	1754208	5.5	5.6
	"Illinois"	"17"	"1999"	"1999"	461	12359020	3.7	3.7
	"Illinois"	"17"	"2000"	"2000"	534	12419293	4.3	4.3
	"Illinois"	"17"	"2001"	"2001"	499	12488445	4.0	4.0
	"Illinois"	"17"	"2002"	"2002"	550	12525556	4.4	4.4
	"Illinois"	"17"	"2003"	"2003"	453	12556006	3.6	3.6
	"Illinois"	"17"	"2004"	"2004"	510	12589773	4.1	4.1
	"Illinois"	"17"	"2005"	"2005"	555	12609903	4.4	4.4
	"Illinois"	"17"	"2006"	"2006"	826	12643955	6.5	6.5
	"Illinois"	"17"	"2007"	"2007"	637	12695866	5.0	5.0
	"Illinois"	"17"	"2008"	"2008"	756	12747038	5.9	5.9
	"Illinois"	"17"	"2009"	"2009"	793	12796778	6.2	6.2
	"Illinois"	"17"	"2010"	"2010"	763	12830632	5.9	6.0
	"Illinois"	"17"	"2011"	"2011"	769	12869257	6.0	6.0
	"Illinois"	"17"	"2012"	"2012"	931	12875255	7.2	7.2
	"Illinois"	"17"	"2013"	"2013"	561	12882135	4.4	4.3
	"Illinois"	"17"	"2014"	"2014"	557	12880580	4.3	4.3
	"Illinois"	"17"	"2015"	"2015"	679	12859995	5.3	5.2
	"Illinois"	"17"	"2016"	"2016"	1354	12801539	10.6	10.6
	"Illinois"	"17"	"2017"	"2017"	1701	12802023	13.3	13.3
	"Illinois"	"17"	"2018"	"2018"	1898	12741080	14.9	14.9
	"Indiana"	"18"	"1999"	"1999"	42	6044969	0.7	0.7
	"Indiana"	"18"	"2000"	"2000"	38	6080485	0.6	0.6
	"Indiana"	"18"	"2001"	"2001"	59	6127760	1.0	1.0
	"Indiana"	"18"	"2002"	"2002"	63	6155967	1.0	1.0
	"Indiana"	"18"	"2003"	"2003"	122	6196638	2.0	2.0
	"Indiana"	"18"	"2004"	"2004"	131	6233007	2.1	2.1
	"Indiana"	"18"	"2005"	"2005"	148	6278616	2.4	2.4
	"Indiana"	"18"	"2006"	"2006"	172	6332669	2.7	2.8
	"Indiana"	"18"	"2007"	"2007"	226	6379599	3.5	3.6
	"Indiana"	"18"	"2008"	"2008"	261	6424806	4.1	4.2
	"Indiana"	"18"	"2009"	"2009"	273	6459325	4.2	4.2
	"Indiana"	"18"	"2010"	"2010"	250	6483802	3.9	3.9
	"Indiana"	"18"	"2011"	"2011"	296	6516922	4.5	4.7
	"Indiana"	"18"	"2012"	"2012"	269	6537334	4.1	4.2
	"Indiana"	"18"	"2013"	"2013"	215	6570902	3.3	3.3
	"Indiana"	"18"	"2014"	"2014"	311	6596855	4.7	4.9
	"Indiana"	"18"	"2015"	"2015"	352	6619680	5.3	5.5
	"Indiana"	"18"	"2016"	"2016"	576	6633053	8.7	9.1
	"Indiana"	"18"	"2017"	"2017"	1024	6666818	15.4	16.3
	"Indiana"	"18"	"2018"	"2018"	978	6691878	14.6	15.4
	"Iowa"	"19"	"1999"	"1999"	12	2917634	Unreliable	Unreliable
	"Iowa"	"19"	"2000"	"2000"	16	2926324	Unreliable	Unreliable
	"Iowa"	"19"	"2001"	"2001"	24	2931997	0.8	0.8
	"Iowa"	"19"	"2002"	"2002"	34	2934234	1.2	1.2
	"Iowa"	"19"	"2003"	"2003"	37	2941999	1.3	1.3
	"Iowa"	"19"	"2004"	"2004"	57	2953635	1.9	2.0
	"Iowa"	"19"	"2005"	"2005"	63	2964454	2.1	2.3
	"Iowa"	"19"	"2006"	"2006"	90	2982644	3.0	3.2
	"Iowa"	"19"	"2007"	"2007"	104	2999212	3.5	3.5
	"Iowa"	"19"	"2008"	"2008"	118	3016734	3.9	4.1
	"Iowa"	"19"	"2009"	"2009"	134	3032870	4.4	4.7
	"Iowa"	"19"	"2010"	"2010"	142	3046355	4.7	5.0
	"Iowa"	"19"	"2011"	"2011"	158	3062309	5.2	5.4
	"Iowa"	"19"	"2012"	"2012"	160	3074186	5.2	5.5
	"Iowa"	"19"	"2013"	"2013"	155	3090416	5.0	5.3
	"Iowa"	"19"	"2014"	"2014"	130	3107126	4.2	4.3
	"Iowa"	"19"	"2015"	"2015"	136	3123899	4.4	4.6
	"Iowa"	"19"	"2016"	"2016"	145	3134693	4.6	4.9
	"Iowa"	"19"	"2017"	"2017"	174	3145711	5.5	5.8
	"Iowa"	"19"	"2018"	"2018"	128	3156145	4.1	4.3
	"Kansas"	"20"	"1999"	"1999"	23	2678338	0.9	0.9
	"Kansas"	"20"	"2000"	"2000"	22	2688418	0.8	0.9
	"Kansas"	"20"	"2001"	"2001"	47	2702162	1.7	1.8
	"Kansas"	"20"	"2002"	"2002"	80	2713535	2.9	3.0
	"Kansas"	"20"	"2003"	"2003"	74	2723004	2.7	2.8
	"Kansas"	"20"	"2004"	"2004"	115	2734373	4.2	4.4
	"Kansas"	"20"	"2005"	"2005"	105	2745299	3.8	4.0
	"Kansas"	"20"	"2006"	"2006"	119	2762931	4.3	4.4
	"Kansas"	"20"	"2007"	"2007"	116	2783785	4.2	4.3
	"Kansas"	"20"	"2008"	"2008"	89	2808076	3.2	3.2
	"Kansas"	"20"	"2009"	"2009"	139	2832704	4.9	5.2
	"Kansas"	"20"	"2010"	"2010"	97	2853118	3.4	3.5
	"Kansas"	"20"	"2011"	"2011"	113	2871238	3.9	4.1
	"Kansas"	"20"	"2012"	"2012"	155	2885905	5.4	5.7
	"Kansas"	"20"	"2013"	"2013"	147	2893957	5.1	5.4
	"Kansas"	"20"	"2014"	"2014"	154	2904021	5.3	5.4
	"Kansas"	"20"	"2015"	"2015"	132	2911641	4.5	4.8
	"Kansas"	"20"	"2016"	"2016"	117	2907289	4.0	4.0
	"Kansas"	"20"	"2017"	"2017"	124	2913123	4.3	4.4
	"Kansas"	"20"	"2018"	"2018"	125	2911505	4.3	4.5
	"Kentucky"	"21"	"1999"	"1999"	52	4018053	1.3	1.3
	"Kentucky"	"21"	"2000"	"2000"	92	4041769	2.3	2.3
	"Kentucky"	"21"	"2001"	"2001"	143	4068132	3.5	3.5
	"Kentucky"	"21"	"2002"	"2002"	174	4089875	4.3	4.3
	"Kentucky"	"21"	"2003"	"2003"	232	4117170	5.6	5.7
	"Kentucky"	"21"	"2004"	"2004"	221	4146101	5.3	5.4
	"Kentucky"	"21"	"2005"	"2005"	285	4182742	6.8	6.8
	"Kentucky"	"21"	"2006"	"2006"	328	4219239	7.8	7.9
	"Kentucky"	"21"	"2007"	"2007"	341	4256672	8.0	8.1
	"Kentucky"	"21"	"2008"	"2008"	355	4289878	8.3	8.4
	"Kentucky"	"21"	"2009"	"2009"	414	4317074	9.6	9.7
	"Kentucky"	"21"	"2010"	"2010"	558	4339367	12.9	13.2
	"Kentucky"	"21"	"2011"	"2011"	626	4369356	14.3	14.8
	"Kentucky"	"21"	"2012"	"2012"	567	4380415	12.9	13.0
	"Kentucky"	"21"	"2013"	"2013"	514	4395295	11.7	11.8
	"Kentucky"	"21"	"2014"	"2014"	566	4413457	12.8	13.0
	"Kentucky"	"21"	"2015"	"2015"	680	4425092	15.4	16.1
	"Kentucky"	"21"	"2016"	"2016"	830	4436974	18.7	19.7
	"Kentucky"	"21"	"2017"	"2017"	1063	4454189	23.9	25.5
	"Kentucky"	"21"	"2018"	"2018"	950	4468402	21.3	22.5
	"Louisiana"	"22"	"1999"	"1999"	27	4460811	0.6	0.6
	"Louisiana"	"22"	"2000"	"2000"	52	4468976	1.2	1.2
	"Louisiana"	"22"	"2001"	"2001"	79	4477875	1.8	1.8
	"Louisiana"	"22"	"2002"	"2002"	95	4497267	2.1	2.1
	"Louisiana"	"22"	"2003"	"2003"	115	4521042	2.5	2.6
	"Louisiana"	"22"	"2004"	"2004"	143	4552238	3.1	3.2
	"Louisiana"	"22"	"2005"	"2005"	167	4576628	3.6	3.7
	"Louisiana"	"22"	"2006"	"2006"	181	4302665	4.2	4.3
	"Louisiana"	"22"	"2007"	"2007"	208	4375581	4.8	4.8
	"Louisiana"	"22"	"2008"	"2008"	118	4435586	2.7	2.7
	"Louisiana"	"22"	"2009"	"2009"	113	4491648	2.5	2.6
	"Louisiana"	"22"	"2010"	"2010"	109	4533372	2.4	2.5
	"Louisiana"	"22"	"2011"	"2011"	100	4574836	2.2	2.2
	"Louisiana"	"22"	"2012"	"2012"	129	4601893	2.8	2.8
	"Louisiana"	"22"	"2013"	"2013"	162	4625470	3.5	3.6
	"Louisiana"	"22"	"2014"	"2014"	168	4649676	3.6	3.7
	"Louisiana"	"22"	"2015"	"2015"	185	4670724	4.0	4.0
	"Louisiana"	"22"	"2016"	"2016"	236	4681666	5.0	5.2
	"Louisiana"	"22"	"2017"	"2017"	301	4684333	6.4	6.7
	"Louisiana"	"22"	"2018"	"2018"	336	4659978	7.2	7.5
	"Maine"	"23"	"1999"	"1999"	26	1266808	2.1	2.0
	"Maine"	"23"	"2000"	"2000"	40	1274923	3.1	3.1
	"Maine"	"23"	"2001"	"2001"	55	1285692	4.3	4.3
